person_id,person_type,activity_id,context,role,years_involved,recognition_level
A26-101046,Applicant,ACT-12,High School,Member,2,None
A26-101046,Applicant,ACT-38,High School,Member,2,Regional
A26-104182,Applicant,ACT-23,High School,Member,1,School
A26-104182,Applicant,ACT-15,High School,Officer,2,School
A26-104182,Applicant,ACT-05,High School,Member,2,None
A26-104182,Applicant,ACT-21,High School,Member,1,None
A26-102745,Applicant,ACT-23,High School,Member,3,School
A26-102745,Applicant,ACT-17,High School,Captain,1,Regional
A26-102745,Applicant,ACT-19,High School,Officer,3,None
A26-102512,Applicant,ACT-23,High School,Member,1,Regional
A26-102512,Applicant,ACT-15,High School,Member,3,None
A26-102512,Applicant,ACT-05,High School,Captain,1,School
A26-105954,Applicant,ACT-16,High School,Captain,3,School
A26-105954,Applicant,ACT-29,High School,Member,3,School
A26-105954,Applicant,ACT-12,High School,Member,3,None
A26-105954,Applicant,ACT-17,High School,Officer,3,None
A26-105954,Applicant,ACT-15,High School,Member,4,Regional
A26-105954,Applicant,ACT-10,High School,Officer,2,State
A26-105954,Applicant,ACT-45,High School,Captain,4,None
A26-101968,Applicant,ACT-09,High School,Officer,1,State
A26-101968,Applicant,ACT-06,High School,Member,3,None
A26-101968,Applicant,ACT-01,High School,Member,4,School
A26-101968,Applicant,ACT-27,High School,Member,2,None
A26-101968,Applicant,ACT-23,High School,Officer,1,None
A26-103786,Applicant,ACT-17,High School,Member,3,School
A26-103786,Applicant,ACT-07,High School,Member,4,Regional
A26-103786,Applicant,ACT-18,High School,Member,4,School
A26-103786,Applicant,ACT-12,High School,Member,3,None
A26-103786,Applicant,ACT-08,High School,President,2,Regional
A26-107113,Applicant,ACT-06,High School,Captain,4,Regional
A26-107113,Applicant,ACT-21,High School,Member,4,School
A26-107113,Applicant,ACT-25,High School,Founder,2,None
A26-107113,Applicant,ACT-12,High School,Captain,1,State
A26-103602,Applicant,ACT-09,High School,Captain,3,None
A26-103602,Applicant,ACT-03,High School,Member,3,None
A26-103602,Applicant,ACT-13,High School,Member,4,School
A26-103602,Applicant,ACT-11,High School,Officer,4,None
A26-100274,Applicant,ACT-18,High School,Officer,3,None
A26-100274,Applicant,ACT-21,High School,Member,2,None
A26-100274,Applicant,ACT-12,High School,Member,1,Regional
A26-100274,Applicant,ACT-01,High School,Member,4,National
A26-107985,Applicant,ACT-25,High School,Officer,4,None
A26-107985,Applicant,ACT-15,High School,Captain,3,School
A26-107985,Applicant,ACT-06,High School,Officer,4,School
A26-107985,Applicant,ACT-08,High School,Member,1,None
A26-107985,Applicant,ACT-28,High School,Captain,2,None
A26-105214,Applicant,ACT-08,High School,Member,3,National
A26-105214,Applicant,ACT-06,High School,Member,4,Regional
A26-105214,Applicant,ACT-11,High School,Member,2,None
A26-105214,Applicant,ACT-23,High School,Officer,4,None
A26-105214,Applicant,ACT-12,High School,Founder,2,Regional
A26-101979,Applicant,ACT-17,High School,Member,4,None
A26-101979,Applicant,ACT-21,High School,Member,2,None
A26-101979,Applicant,ACT-08,High School,Member,3,School
A26-101001,Applicant,ACT-15,High School,Member,2,None
A26-101001,Applicant,ACT-31,High School,Officer,3,School
A26-101001,Applicant,ACT-12,High School,Captain,2,National
A26-106786,Applicant,ACT-28,High School,Member,3,School
A26-106786,Applicant,ACT-27,High School,Member,3,None
A26-106786,Applicant,ACT-17,High School,President,2,School
A26-106293,Applicant,ACT-15,High School,Member,3,School
A26-106293,Applicant,ACT-31,High School,Member,2,None
A26-106293,Applicant,ACT-19,High School,Officer,2,Regional
A26-106293,Applicant,ACT-05,High School,Member,4,School
A26-106293,Applicant,ACT-16,High School,Member,4,None
A26-100454,Applicant,ACT-10,High School,Captain,4,School
A26-100454,Applicant,ACT-21,High School,Member,2,Regional
A26-100454,Applicant,ACT-11,High School,Member,1,None
A26-100454,Applicant,ACT-06,High School,Officer,4,None
A26-100454,Applicant,ACT-08,High School,Member,1,Regional
A26-107724,Applicant,ACT-12,High School,Member,1,School
A26-107724,Applicant,ACT-28,High School,Member,3,None
A26-107724,Applicant,ACT-03,High School,Member,4,None
A26-107724,Applicant,ACT-15,High School,Member,4,None
A26-107724,Applicant,ACT-06,High School,Member,4,None
A26-100753,Applicant,ACT-30,High School,Captain,2,School
A26-100753,Applicant,ACT-12,High School,Officer,3,None
A26-100753,Applicant,ACT-08,High School,Member,3,Regional
A26-100753,Applicant,ACT-01,High School,Officer,1,School
A26-106580,Applicant,ACT-12,High School,Member,2,None
A26-106580,Applicant,ACT-09,High School,President,4,School
A26-106580,Applicant,ACT-15,High School,Officer,3,School
A26-106580,Applicant,ACT-25,High School,Member,3,None
A26-108154,Applicant,ACT-08,High School,Member,3,School
A26-108154,Applicant,ACT-06,High School,Member,2,Regional
A26-108154,Applicant,ACT-12,High School,Member,1,School
A26-108154,Applicant,ACT-04,High School,President,4,None
A26-105721,Applicant,ACT-15,High School,Member,2,Regional
A26-105721,Applicant,ACT-08,High School,Member,3,Regional
A26-105721,Applicant,ACT-18,High School,Officer,4,Regional
A26-101667,Applicant,ACT-15,High School,Member,3,None
A26-101667,Applicant,ACT-20,High School,Member,1,Regional
A26-101667,Applicant,ACT-01,High School,Member,4,State
A26-101667,Applicant,ACT-09,High School,Officer,2,None
A26-101667,Applicant,ACT-06,High School,Officer,4,None
A26-101667,Applicant,ACT-12,High School,Captain,2,None
A26-101682,Applicant,ACT-11,High School,Member,4,None
A26-101682,Applicant,ACT-06,High School,Member,1,None
A26-101682,Applicant,ACT-01,High School,Member,4,None
A26-101682,Applicant,ACT-13,High School,Member,4,School
A26-103205,Applicant,ACT-06,High School,Officer,1,State
A26-103205,Applicant,ACT-23,High School,Member,4,School
A26-103205,Applicant,ACT-01,High School,Member,1,None
A26-103205,Applicant,ACT-17,High School,Member,2,None
A26-103205,Applicant,ACT-12,High School,Officer,4,National
A26-107071,Applicant,ACT-12,High School,Member,2,None
A26-107071,Applicant,ACT-23,High School,Member,3,None
A26-107071,Applicant,ACT-11,High School,Member,4,School
A26-107071,Applicant,ACT-19,High School,Member,2,None
A26-101294,Applicant,ACT-08,High School,Member,2,School
A26-101294,Applicant,ACT-28,High School,Member,3,None
A26-101294,Applicant,ACT-26,High School,Officer,2,None
A26-106598,Applicant,ACT-01,High School,Member,1,School
A26-106598,Applicant,ACT-03,High School,Member,2,School
A26-106598,Applicant,ACT-21,High School,Founder,1,Regional
A26-106598,Applicant,ACT-07,High School,Officer,1,None
A26-106598,Applicant,ACT-23,High School,Officer,1,None
A26-106529,Applicant,ACT-23,High School,Member,3,Regional
A26-106529,Applicant,ACT-11,High School,Officer,4,School
A26-106529,Applicant,ACT-17,High School,President,4,School
A26-106529,Applicant,ACT-08,High School,Member,1,None
A26-103778,Applicant,ACT-23,High School,Member,1,None
A26-103778,Applicant,ACT-28,High School,Member,4,None
A26-103778,Applicant,ACT-10,High School,Member,3,Regional
A26-103778,Applicant,ACT-12,High School,Member,1,None
A26-103778,Applicant,ACT-47,High School,Member,3,School
A26-107201,Applicant,ACT-13,High School,Founder,2,None
A26-107201,Applicant,ACT-12,High School,Officer,4,None
A26-107201,Applicant,ACT-08,High School,Captain,3,None
A26-107201,Applicant,ACT-28,High School,Member,1,None
A26-106882,Applicant,ACT-02,High School,Member,1,School
A26-106882,Applicant,ACT-15,High School,Member,2,Regional
A26-106882,Applicant,ACT-11,High School,Member,1,Regional
A26-106882,Applicant,ACT-06,High School,Member,4,School
A26-106882,Applicant,ACT-05,High School,President,1,School
A26-100533,Applicant,ACT-12,High School,President,2,School
A26-100533,Applicant,ACT-17,High School,Officer,2,None
A26-100533,Applicant,ACT-29,High School,Founder,1,None
A26-100533,Applicant,ACT-21,High School,Member,3,State
A26-100671,Applicant,ACT-11,High School,Member,3,School
A26-100671,Applicant,ACT-25,High School,Officer,4,None
A26-100671,Applicant,ACT-06,High School,Founder,1,None
A26-100671,Applicant,ACT-46,High School,Captain,2,State
A26-106007,Applicant,ACT-14,High School,Officer,4,None
A26-106007,Applicant,ACT-26,High School,Member,4,School
A26-106007,Applicant,ACT-13,High School,Member,4,School
A26-106007,Applicant,ACT-12,High School,Member,1,None
A26-106007,Applicant,ACT-08,High School,Member,3,None
A26-106007,Applicant,ACT-25,High School,Member,3,School
A26-107408,Applicant,ACT-07,High School,Officer,4,None
A26-107408,Applicant,ACT-16,High School,Officer,3,School
A26-107408,Applicant,ACT-22,High School,Officer,3,None
A26-101181,Applicant,ACT-06,High School,Member,1,School
A26-101181,Applicant,ACT-15,High School,Captain,1,None
A26-101181,Applicant,ACT-23,High School,Member,4,None
A26-101181,Applicant,ACT-01,High School,Member,1,School
A26-101181,Applicant,ACT-16,High School,Member,4,State
A26-105384,Applicant,ACT-12,High School,Captain,2,Regional
A26-105384,Applicant,ACT-09,High School,Member,4,School
A26-105384,Applicant,ACT-23,High School,Member,3,School
A26-105384,Applicant,ACT-06,High School,Officer,4,Regional
A26-105384,Applicant,ACT-18,High School,Member,1,School
A26-105384,Applicant,ACT-13,High School,Member,1,Regional
A26-100782,Applicant,ACT-07,High School,Member,3,None
A26-100782,Applicant,ACT-11,High School,Member,1,State
A26-100782,Applicant,ACT-06,High School,Member,1,None
A26-100782,Applicant,ACT-18,High School,Member,3,State
A26-100782,Applicant,ACT-12,High School,Member,2,School
A26-102738,Applicant,ACT-07,High School,Member,2,None
A26-102738,Applicant,ACT-09,High School,Member,1,None
A26-102738,Applicant,ACT-08,High School,President,4,School
A26-105253,Applicant,ACT-07,High School,Officer,2,State
A26-105253,Applicant,ACT-31,High School,Member,3,National
A26-105253,Applicant,ACT-18,High School,Member,4,None
A26-108022,Applicant,ACT-24,High School,Member,3,School
A26-108022,Applicant,ACT-15,High School,Officer,4,School
A26-108022,Applicant,ACT-23,High School,Member,4,State
A26-108022,Applicant,ACT-04,High School,Officer,2,None
A26-108022,Applicant,ACT-03,High School,Member,4,None
A26-105538,Applicant,ACT-11,High School,Member,4,None
A26-105538,Applicant,ACT-12,High School,President,2,None
A26-105538,Applicant,ACT-15,High School,Member,3,School
A26-105538,Applicant,ACT-06,High School,Member,1,None
A26-107886,Applicant,ACT-07,High School,Member,2,School
A26-107886,Applicant,ACT-22,High School,Officer,2,School
A26-107886,Applicant,ACT-09,High School,Member,3,None
A26-107886,Applicant,ACT-23,High School,Officer,4,None
A26-101386,Applicant,ACT-25,High School,Member,4,None
A26-101386,Applicant,ACT-12,High School,Officer,4,None
A26-101386,Applicant,ACT-06,High School,Officer,4,School
A26-101386,Applicant,ACT-03,High School,Officer,3,School
A26-107719,Applicant,ACT-27,High School,Member,3,None
A26-107719,Applicant,ACT-01,High School,Officer,4,None
A26-107719,Applicant,ACT-14,High School,Officer,4,None
A26-107719,Applicant,ACT-23,High School,Member,1,None
A26-107719,Applicant,ACT-28,High School,Member,1,State
A26-104381,Applicant,ACT-04,High School,Member,3,None
A26-104381,Applicant,ACT-01,High School,Founder,3,School
A26-104381,Applicant,ACT-27,High School,Member,1,None
A26-104381,Applicant,ACT-28,High School,Member,3,None
A26-104381,Applicant,ACT-21,High School,Member,1,None
A26-102096,Applicant,ACT-20,High School,Member,3,None
A26-102096,Applicant,ACT-12,High School,Member,3,School
A26-102096,Applicant,ACT-28,High School,Member,1,School
A26-102096,Applicant,ACT-23,High School,Member,4,None
A26-102096,Applicant,ACT-02,High School,Member,1,School
A26-105237,Applicant,ACT-15,High School,President,2,None
A26-105237,Applicant,ACT-06,High School,Member,2,School
A26-105237,Applicant,ACT-17,High School,Member,2,None
A26-105237,Applicant,ACT-01,High School,Officer,2,School
A26-105328,Applicant,ACT-19,High School,Member,3,None
A26-105328,Applicant,ACT-01,High School,Officer,2,None
A26-105328,Applicant,ACT-13,High School,President,2,School
A26-105174,Applicant,ACT-20,High School,Member,3,None
A26-105174,Applicant,ACT-05,High School,Member,3,None
A26-105174,Applicant,ACT-23,High School,President,4,State
A26-105174,Applicant,ACT-18,High School,Member,4,School
A26-103567,Applicant,ACT-12,High School,Member,1,None
A26-103567,Applicant,ACT-23,High School,Officer,1,None
A26-103567,Applicant,ACT-31,High School,President,1,School
A26-103567,Applicant,ACT-24,High School,Member,2,None
A26-107445,Applicant,ACT-26,High School,Member,2,Regional
A26-107445,Applicant,ACT-12,High School,Member,4,None
A26-107445,Applicant,ACT-29,High School,Member,2,None
A26-107445,Applicant,ACT-14,High School,Officer,2,State
A26-102018,Applicant,ACT-07,High School,Member,4,None
A26-102018,Applicant,ACT-12,High School,Member,2,State
A26-102018,Applicant,ACT-15,High School,Member,4,Regional
A26-102018,Applicant,ACT-23,High School,Officer,1,School
A26-104260,Applicant,ACT-01,High School,Member,4,School
A26-104260,Applicant,ACT-08,High School,Member,4,None
A26-104260,Applicant,ACT-17,High School,Member,4,None
A26-104511,Applicant,ACT-08,High School,Officer,1,Regional
A26-104511,Applicant,ACT-06,High School,Member,3,None
A26-104511,Applicant,ACT-23,High School,Founder,3,School
A26-104511,Applicant,ACT-12,High School,Member,3,Regional
A26-104511,Applicant,ACT-10,High School,Member,1,None
A26-104511,Applicant,ACT-20,High School,Member,2,None
A26-108210,Applicant,ACT-23,High School,Member,1,None
A26-108210,Applicant,ACT-06,High School,Officer,2,School
A26-108210,Applicant,ACT-05,High School,Member,2,State
A26-108210,Applicant,ACT-11,High School,Member,1,Regional
A26-106030,Applicant,ACT-01,High School,Officer,1,School
A26-106030,Applicant,ACT-12,High School,Officer,3,None
A26-106030,Applicant,ACT-15,High School,Member,2,None
A26-106030,Applicant,ACT-22,High School,Member,2,Regional
A26-105248,Applicant,ACT-09,High School,Captain,4,Regional
A26-105248,Applicant,ACT-12,High School,Member,2,None
A26-105248,Applicant,ACT-23,High School,Member,3,School
A26-105248,Applicant,ACT-13,High School,Member,1,None
A26-105248,Applicant,ACT-06,High School,Founder,3,Regional
A26-105248,Applicant,ACT-32,High School,Member,2,Regional
A26-108217,Applicant,ACT-07,High School,Member,2,Regional
A26-108217,Applicant,ACT-01,High School,Member,1,State
A26-108217,Applicant,ACT-27,High School,Founder,2,Regional
A26-108217,Applicant,ACT-18,High School,Officer,1,None
A26-108217,Applicant,ACT-17,High School,Member,3,None
A26-108217,Applicant,ACT-24,High School,Officer,2,State
A26-106394,Applicant,ACT-15,High School,Member,2,Regional
A26-106394,Applicant,ACT-21,High School,President,3,None
A26-106394,Applicant,ACT-06,High School,Officer,2,School
A26-100816,Applicant,ACT-01,High School,Captain,3,None
A26-100816,Applicant,ACT-12,High School,President,2,Regional
A26-100816,Applicant,ACT-05,High School,Member,4,None
A26-100816,Applicant,ACT-15,High School,Member,2,None
A26-100816,Applicant,ACT-07,High School,Captain,2,None
A26-103219,Applicant,ACT-23,High School,Officer,3,School
A26-103219,Applicant,ACT-12,High School,Member,2,Regional
A26-103219,Applicant,ACT-18,High School,Member,4,None
A26-103219,Applicant,ACT-01,High School,Member,2,National
A26-103219,Applicant,ACT-14,High School,Member,4,None
A26-106288,Applicant,ACT-12,High School,Member,2,Regional
A26-106288,Applicant,ACT-08,High School,Officer,2,Regional
A26-106288,Applicant,ACT-23,High School,Member,2,State
A26-106288,Applicant,ACT-21,High School,Officer,2,School
A26-106288,Applicant,ACT-28,High School,Member,1,None
A26-106371,Applicant,ACT-10,High School,Member,1,National
A26-106371,Applicant,ACT-21,High School,Officer,4,School
A26-106371,Applicant,ACT-17,High School,Member,1,State
A26-106371,Applicant,ACT-16,High School,Member,1,School
A26-105996,Applicant,ACT-06,High School,Member,3,State
A26-105996,Applicant,ACT-15,High School,Officer,3,School
A26-105996,Applicant,ACT-09,High School,Member,4,School
A26-105996,Applicant,ACT-12,High School,Captain,2,Regional
A26-103587,Applicant,ACT-12,High School,Member,4,None
A26-103587,Applicant,ACT-11,High School,Member,3,Regional
A26-103587,Applicant,ACT-23,High School,President,4,School
A26-104285,Applicant,ACT-23,High School,President,2,None
A26-104285,Applicant,ACT-31,High School,Member,3,Regional
A26-104285,Applicant,ACT-24,High School,Officer,4,Regional
A26-104285,Applicant,ACT-08,High School,Officer,4,Regional
A26-104285,Applicant,ACT-12,High School,Member,2,School
A26-107643,Applicant,ACT-01,High School,President,1,None
A26-107643,Applicant,ACT-02,High School,Member,2,State
A26-107643,Applicant,ACT-09,High School,Member,2,School
A26-107643,Applicant,ACT-12,High School,Member,4,None
A26-107643,Applicant,ACT-21,High School,Member,2,None
A26-104049,Applicant,ACT-19,High School,Member,1,Regional
A26-104049,Applicant,ACT-15,High School,Member,4,None
A26-104049,Applicant,ACT-23,High School,Captain,2,None
A26-104049,Applicant,ACT-10,High School,Member,4,School
A26-100293,Applicant,ACT-22,High School,Member,2,None
A26-100293,Applicant,ACT-11,High School,President,4,State
A26-100293,Applicant,ACT-09,High School,Officer,1,School
A26-100293,Applicant,ACT-06,High School,Member,2,School
A26-100293,Applicant,ACT-03,High School,Officer,2,National
A26-100293,Applicant,ACT-12,High School,Member,4,None
A26-100591,Applicant,ACT-15,High School,Officer,1,None
A26-100591,Applicant,ACT-06,High School,Member,4,Regional
A26-100591,Applicant,ACT-24,High School,Member,1,None
A26-100591,Applicant,ACT-20,High School,Member,3,School
A26-101945,Applicant,ACT-25,High School,Member,2,School
A26-101945,Applicant,ACT-06,High School,Member,2,School
A26-101945,Applicant,ACT-08,High School,Member,1,None
A26-102400,Applicant,ACT-01,High School,Member,1,None
A26-102400,Applicant,ACT-23,High School,Member,1,None
A26-102400,Applicant,ACT-12,High School,Officer,3,None
A26-102400,Applicant,ACT-09,High School,Officer,3,School
A26-102400,Applicant,ACT-21,High School,Member,2,School
A26-102257,Applicant,ACT-23,High School,Member,3,Regional
A26-102257,Applicant,ACT-15,High School,Captain,1,State
A26-102257,Applicant,ACT-30,High School,Member,4,None
A26-102257,Applicant,ACT-12,High School,Member,4,Regional
A26-102257,Applicant,ACT-20,High School,Member,3,None
A26-108389,Applicant,ACT-19,High School,Member,2,School
A26-108389,Applicant,ACT-05,High School,Officer,2,Regional
A26-108389,Applicant,ACT-15,High School,Member,2,None
A26-108389,Applicant,ACT-21,High School,Member,1,None
A26-101708,Applicant,ACT-21,High School,Member,1,None
A26-101708,Applicant,ACT-12,High School,Officer,2,None
A26-101708,Applicant,ACT-01,High School,Officer,2,None
A26-101708,Applicant,ACT-07,High School,Member,1,None
A26-108051,Applicant,ACT-27,High School,Founder,1,State
A26-108051,Applicant,ACT-12,High School,Officer,2,Regional
A26-108051,Applicant,ACT-31,High School,President,4,School
A26-108051,Applicant,ACT-20,High School,Member,3,State
A26-102195,Applicant,ACT-09,High School,Member,1,None
A26-102195,Applicant,ACT-12,High School,Officer,1,None
A26-102195,Applicant,ACT-15,High School,Member,3,School
A26-102195,Applicant,ACT-10,High School,Officer,2,Regional
A26-102195,Applicant,ACT-01,High School,Officer,2,School
A26-102195,Applicant,ACT-08,High School,Member,1,None
A26-107977,Applicant,ACT-24,High School,Member,1,Regional
A26-107977,Applicant,ACT-16,High School,President,4,None
A26-107977,Applicant,ACT-07,High School,Member,3,School
A26-107977,Applicant,ACT-02,High School,Officer,3,None
A26-107977,Applicant,ACT-12,High School,Officer,4,None
A26-107977,Applicant,ACT-34,High School,Captain,3,None
A26-105149,Applicant,ACT-09,High School,Member,4,None
A26-105149,Applicant,ACT-06,High School,Member,3,State
A26-105149,Applicant,ACT-17,High School,Member,4,None
A26-105149,Applicant,ACT-01,High School,Founder,2,School
A26-106349,Applicant,ACT-09,High School,Member,1,Regional
A26-106349,Applicant,ACT-31,High School,Captain,4,None
A26-106349,Applicant,ACT-10,High School,Member,4,School
A26-106349,Applicant,ACT-01,High School,Member,4,National
A26-106349,Applicant,ACT-06,High School,Member,2,Regional
A26-101826,Applicant,ACT-27,High School,Officer,2,State
A26-101826,Applicant,ACT-03,High School,Member,3,None
A26-101826,Applicant,ACT-23,High School,Captain,3,None
A26-101826,Applicant,ACT-01,High School,Member,2,School
A26-101826,Applicant,ACT-09,High School,Captain,1,None
A26-101826,Applicant,ACT-32,High School,Member,3,State
A26-102229,Applicant,ACT-12,High School,Officer,2,School
A26-102229,Applicant,ACT-23,High School,Member,1,None
A26-102229,Applicant,ACT-26,High School,Member,1,School
A26-102985,Applicant,ACT-21,High School,Member,4,None
A26-102985,Applicant,ACT-15,High School,Officer,4,None
A26-102985,Applicant,ACT-17,High School,Officer,3,None
A26-102985,Applicant,ACT-12,High School,Member,1,Regional
A26-102985,Applicant,ACT-01,High School,Member,3,Regional
A26-105861,Applicant,ACT-12,High School,Captain,1,None
A26-105861,Applicant,ACT-20,High School,Member,1,State
A26-105861,Applicant,ACT-10,High School,Member,2,None
A26-106101,Applicant,ACT-01,High School,Member,1,Regional
A26-106101,Applicant,ACT-19,High School,President,4,None
A26-106101,Applicant,ACT-24,High School,Founder,2,School
A26-106101,Applicant,ACT-10,High School,Officer,2,State
A26-106101,Applicant,ACT-12,High School,Member,1,None
A26-106101,Applicant,ACT-05,High School,Member,3,School
A26-104618,Applicant,ACT-12,High School,Member,4,None
A26-104618,Applicant,ACT-17,High School,President,3,None
A26-104618,Applicant,ACT-18,High School,Member,2,None
A26-104618,Applicant,ACT-08,High School,Member,4,School
A26-104618,Applicant,ACT-04,High School,Member,4,State
A26-104618,Applicant,ACT-33,High School,Member,4,None
A26-106547,Applicant,ACT-21,High School,Member,2,Regional
A26-106547,Applicant,ACT-08,High School,Officer,1,None
A26-106547,Applicant,ACT-15,High School,Officer,3,School
A26-106547,Applicant,ACT-07,High School,Founder,4,None
A26-107267,Applicant,ACT-29,High School,Member,2,School
A26-107267,Applicant,ACT-05,High School,Member,3,School
A26-107267,Applicant,ACT-02,High School,Officer,1,None
A26-107267,Applicant,ACT-13,High School,Founder,4,None
A26-107267,Applicant,ACT-08,High School,Member,4,None
A26-102898,Applicant,ACT-09,High School,Member,4,None
A26-102898,Applicant,ACT-25,High School,President,1,School
A26-102898,Applicant,ACT-31,High School,Officer,1,National
A26-107148,Applicant,ACT-21,High School,Member,1,School
A26-107148,Applicant,ACT-23,High School,Member,3,None
A26-107148,Applicant,ACT-06,High School,Member,3,School
A26-107148,Applicant,ACT-07,High School,Member,3,None
A26-107148,Applicant,ACT-09,High School,Member,1,School
A26-104239,Applicant,ACT-17,High School,Officer,2,School
A26-104239,Applicant,ACT-12,High School,Officer,1,None
A26-104239,Applicant,ACT-04,High School,Officer,1,None
A26-107429,Applicant,ACT-22,High School,Member,2,None
A26-107429,Applicant,ACT-15,High School,Officer,2,None
A26-107429,Applicant,ACT-12,High School,Member,2,School
A26-100441,Applicant,ACT-02,High School,Member,4,None
A26-100441,Applicant,ACT-12,High School,Member,4,School
A26-100441,Applicant,ACT-31,High School,Member,3,School
A26-100441,Applicant,ACT-24,High School,Founder,4,Regional
A26-100441,Applicant,ACT-20,High School,President,4,None
A26-102032,Applicant,ACT-25,High School,Member,2,Regional
A26-102032,Applicant,ACT-27,High School,Officer,2,None
A26-102032,Applicant,ACT-08,High School,Member,2,None
A26-102032,Applicant,ACT-01,High School,Founder,3,None
A26-106988,Applicant,ACT-25,High School,Member,4,None
A26-106988,Applicant,ACT-31,High School,Founder,1,None
A26-106988,Applicant,ACT-01,High School,Member,3,Regional
A26-104910,Applicant,ACT-01,High School,Member,1,Regional
A26-104910,Applicant,ACT-02,High School,Member,2,Regional
A26-104910,Applicant,ACT-31,High School,President,2,None
A26-104910,Applicant,ACT-05,High School,Officer,1,School
A26-107648,Applicant,ACT-11,High School,Officer,4,None
A26-107648,Applicant,ACT-10,High School,President,4,National
A26-107648,Applicant,ACT-01,High School,Officer,1,Regional
A26-107648,Applicant,ACT-23,High School,Officer,1,Regional
A26-107648,Applicant,ACT-12,High School,Member,4,Regional
A26-106195,Applicant,ACT-01,High School,Member,2,None
A26-106195,Applicant,ACT-24,High School,Member,3,School
A26-106195,Applicant,ACT-31,High School,Member,4,None
A26-106195,Applicant,ACT-19,High School,Founder,1,None
A26-106195,Applicant,ACT-05,High School,Member,1,School
A26-106195,Applicant,ACT-23,High School,Member,2,School
A26-105601,Applicant,ACT-12,High School,Member,4,Regional
A26-105601,Applicant,ACT-06,High School,Member,1,None
A26-105601,Applicant,ACT-21,High School,Member,3,None
A26-101505,Applicant,ACT-12,High School,Captain,1,Regional
A26-101505,Applicant,ACT-07,High School,Member,4,State
A26-101505,Applicant,ACT-15,High School,Captain,3,None
A26-101505,Applicant,ACT-30,High School,Member,3,None
A26-101543,Applicant,ACT-05,High School,Founder,2,None
A26-101543,Applicant,ACT-12,High School,Member,4,School
A26-101543,Applicant,ACT-08,High School,Member,4,National
A26-102349,Applicant,ACT-20,High School,Officer,2,None
A26-102349,Applicant,ACT-05,High School,Officer,2,School
A26-102349,Applicant,ACT-12,High School,President,2,None
A26-108359,Applicant,ACT-28,High School,Member,1,School
A26-108359,Applicant,ACT-06,High School,Member,4,None
A26-108359,Applicant,ACT-25,High School,President,2,None
A26-106080,Applicant,ACT-02,High School,Member,4,School
A26-106080,Applicant,ACT-05,High School,Member,4,None
A26-106080,Applicant,ACT-27,High School,Member,3,Regional
A26-106080,Applicant,ACT-20,High School,Member,3,Regional
A26-106080,Applicant,ACT-47,High School,Member,4,State
A26-105800,Applicant,ACT-15,High School,Captain,4,None
A26-105800,Applicant,ACT-12,High School,Officer,4,State
A26-105800,Applicant,ACT-14,High School,Captain,2,School
A26-105800,Applicant,ACT-22,High School,Member,3,State
A26-105800,Applicant,ACT-19,High School,Officer,2,School
A26-101099,Applicant,ACT-23,High School,President,3,None
A26-101099,Applicant,ACT-19,High School,Member,2,None
A26-101099,Applicant,ACT-18,High School,Member,2,None
A26-101099,Applicant,ACT-17,High School,Founder,4,None
A26-105470,Applicant,ACT-02,High School,Member,1,Regional
A26-105470,Applicant,ACT-13,High School,Member,4,None
A26-105470,Applicant,ACT-12,High School,Member,4,None
A26-105470,Applicant,ACT-15,High School,Officer,3,None
A26-105470,Applicant,ACT-08,High School,Member,2,None
A26-105470,Applicant,ACT-30,High School,Officer,2,School
A26-107186,Applicant,ACT-08,High School,Officer,4,None
A26-107186,Applicant,ACT-17,High School,Member,1,School
A26-107186,Applicant,ACT-04,High School,Member,3,Regional
A26-107186,Applicant,ACT-05,High School,Member,2,National
A26-107186,Applicant,ACT-14,High School,Member,3,School
A26-107186,Applicant,ACT-06,High School,Founder,4,State
A26-100826,Applicant,ACT-08,High School,Member,2,State
A26-100826,Applicant,ACT-12,High School,Member,2,None
A26-100826,Applicant,ACT-15,High School,Member,1,None
A26-100826,Applicant,ACT-21,High School,Officer,3,State
A26-100428,Applicant,ACT-09,High School,Member,4,None
A26-100428,Applicant,ACT-23,High School,Officer,4,State
A26-100428,Applicant,ACT-12,High School,Member,4,None
A26-105707,Applicant,ACT-01,High School,Officer,4,None
A26-105707,Applicant,ACT-23,High School,Member,1,None
A26-105707,Applicant,ACT-06,High School,Member,4,None
A26-105707,Applicant,ACT-17,High School,Member,3,School
A26-105461,Applicant,ACT-07,High School,Member,2,None
A26-105461,Applicant,ACT-08,High School,President,3,School
A26-105461,Applicant,ACT-06,High School,Member,4,Regional
A26-105461,Applicant,ACT-12,High School,Officer,1,None
A26-104575,Applicant,ACT-28,High School,Member,4,School
A26-104575,Applicant,ACT-18,High School,Member,2,None
A26-104575,Applicant,ACT-21,High School,Member,3,Regional
A26-104575,Applicant,ACT-15,High School,Officer,2,Regional
A26-107750,Applicant,ACT-10,High School,Member,1,None
A26-107750,Applicant,ACT-09,High School,Officer,4,None
A26-107750,Applicant,ACT-15,High School,Officer,1,State
A26-101356,Applicant,ACT-23,High School,Member,2,State
A26-101356,Applicant,ACT-02,High School,Member,1,School
A26-101356,Applicant,ACT-06,High School,Member,3,School
A26-101356,Applicant,ACT-03,High School,Officer,1,None
A26-104602,Applicant,ACT-05,High School,Member,4,None
A26-104602,Applicant,ACT-28,High School,Member,2,State
