alum_id,cohort_year,entry_academic_rating,entry_hs_gpa_recalc,entry_testing_policy,entry_sat_total,entry_region,entry_hs_type,entry_first_generation,entry_family_income_band,entry_institutional_aid,entry_intended_school,entry_intended_major,entry_athletic_recruit_sport,entry_demonstrated_interest_rating,final_school,final_major,first_year_gpa,final_cum_gpa,gpa_delta,retained_year2,graduated_4yr,graduated_6yr,academic_probation_ever,major_changes,leadership_roles_count,varsity_seasons,team_captain,honors_thesis,latin_honors,internships_count,study_abroad,postgrad_status_6mo,success_attainment,success_growth,success_completion,success_contribution,exemplar_flag,success_composite_tier
L2020-10085,2020,3,3.55,Submitted,1250,Mid-Atlantic,Public,N,$30K - $59K,44400,School of Engineering,Electrical Engineering,,4,School of Engineering,Electrical Engineering,2.70,2.72,0.02,Y,Y,Y,N,1,4,0,N,N,N,2,N,Employed full-time,0.488,0.4554,1.0,0.7273,Y,Tier 2 - Strong
L2021-10086,2021,2,3.16,Submitted,1160,South,Public,Y,$60K - $99K,36000,College of Arts & Sciences,Economics,,4,College of Arts & Sciences,Neuroscience,2.90,3.26,0.36,Y,Y,Y,N,2,0,0,N,N,N,2,Y,Employed full-time,0.704,0.7921,1.0,0.0,N,Tier 3 - Solid
L2022-10087,2022,2,3.55,Test Optional,,Midwest,Public,N,Not Reported,51500,School of Nursing & Health,Exercise Science,,5,School of Nursing & Health,Exercise Science,2.47,2.62,0.15,Y,Y,Y,N,0,2,0,N,N,N,1,N,Graduate or professional school,0.448,0.5842,1.0,0.3636,N,Tier 3 - Solid
L2023-10088,2023,3,3.71,Test Optional,,Southwest,Public,N,$100K - $149K,47400,School of Engineering,Chemical Engineering,Baseball,2,School of Engineering,Biomedical Engineering,3.06,3.35,0.29,Y,N,Y,N,1,1,4,N,N,N,1,Y,Seeking,0.74,0.7228,0.6,0.1818,N,Tier 3 - Solid
L2024-10089,2024,3,3.65,Test Optional,,South,Public,Y,$60K - $99K,16600,School of Nursing & Health,Health Administration,,2,School of Nursing & Health,Health Administration,3.08,3.42,0.34,N,N,N,Y,1,1,0,N,N,N,0,N,Seeking,0.768,0.7723,0.0,0.1818,N,Tier 4 - Struggled
L2025-10090,2025,3,3.62,Submitted,1310,Mid-Atlantic,Public,N,$60K - $99K,41200,School of Business,Marketing,,2,School of Business,Marketing,3.40,3.50,0.10,Y,Y,Y,Y,0,2,0,N,N,N,1,Y,Employed full-time,0.8,0.5347,0.85,0.3636,N,Tier 2 - Strong
L2019-10091,2019,2,3.54,Submitted,1220,Mid-Atlantic,International School,N,$150K - $249K,17700,College of Fine Arts,Graphic Design,,5,College of Fine Arts,Graphic Design,2.51,2.55,0.04,Y,Y,Y,N,2,0,0,N,Y,N,2,N,Employed full-time,0.42,0.4752,1.0,0.2727,N,Tier 3 - Solid
L2020-10092,2020,4,3.84,Test Optional,,West,Public,N,$250K and above,33300,School of Business,Accounting,,4,School of Business,Management,2.88,3.23,0.35,Y,Y,Y,Y,1,2,0,N,N,N,0,N,Graduate or professional school,0.692,0.7822,0.85,0.3636,Y,Tier 2 - Strong
L2021-10093,2021,3,3.50,Submitted,1230,Mid-Atlantic,Public,N,$60K - $99K,61600,School of Engineering,Electrical Engineering,,3,School of Engineering,Civil Engineering,3.36,3.62,0.26,Y,Y,Y,N,0,1,0,N,N,N,1,N,Employed full-time,0.848,0.6931,1.0,0.1818,Y,Tier 2 - Strong
L2022-10094,2022,3,3.40,Submitted,1130,Southwest,Public,N,$250K and above,47200,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,Chemistry,2.54,2.62,0.08,Y,Y,Y,N,0,4,0,N,N,N,2,N,Employed full-time,0.448,0.5149,1.0,0.7273,Y,Tier 2 - Strong
L2023-10095,2023,3,3.48,Submitted,1240,West,Private - Independent,N,Under $30K,600,School of Engineering,Mechanical Engineering,,3,School of Engineering,Mechanical Engineering,3.09,3.29,0.20,Y,Y,Y,N,1,1,0,N,N,N,1,N,Graduate or professional school,0.716,0.6337,1.0,0.1818,N,Tier 2 - Strong
L2024-10096,2024,3,3.71,Test Optional,,West,Private - Independent,N,Under $30K,43700,College of Arts & Sciences,Communication,,2,College of Arts & Sciences,Communication,2.56,2.75,0.19,Y,Y,Y,Y,3,1,0,N,N,N,0,N,Graduate or professional school,0.5,0.6238,0.85,0.1818,N,Tier 3 - Solid
L2025-10097,2025,3,3.60,Submitted,1300,South,Parochial,N,$250K and above,20700,School of Business,Finance,,3,School of Business,Finance,3.32,3.45,0.13,Y,N,N,N,0,0,0,N,N,N,1,Y,Unknown,0.78,0.5644,0.6,0.0,N,Tier 4 - Struggled
L2019-10098,2019,2,3.50,Submitted,1250,New England,Private - Independent,N,$60K - $99K,57300,School of Engineering,Chemical Engineering,,5,School of Engineering,Chemical Engineering,2.63,2.95,0.32,Y,Y,Y,N,3,1,0,N,N,N,4,N,Employed full-time,0.58,0.7525,1.0,0.1818,N,Tier 3 - Solid
L2020-10099,2020,2,3.27,Test Optional,,International,Private - Independent,Y,$30K - $59K,52200,School of Engineering,Computer Science,Wrestling,3,School of Engineering,Chemical Engineering,2.36,2.52,0.16,Y,N,Y,N,2,1,3,Y,N,N,0,N,Employed full-time,0.408,0.5941,0.6,0.4545,N,Tier 4 - Struggled
L2021-10100,2021,2,3.41,Submitted,1230,South,Public,N,$100K - $149K,47300,School of Business,Supply Chain Management,Track & Field,3,School of Business,Supply Chain Management,3.15,3.35,0.20,Y,N,Y,Y,0,1,3,N,N,N,1,N,Graduate or professional school,0.74,0.6337,0.45,0.1818,N,Tier 4 - Struggled
L2022-10101,2022,3,3.52,Submitted,1260,International,Public,N,Under $30K,9000,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,2.67,2.79,0.12,Y,Y,Y,N,2,0,0,N,N,N,1,N,Graduate or professional school,0.516,0.5545,1.0,0.0,N,Tier 4 - Struggled
L2023-10102,2023,2,3.54,Submitted,1150,Mid-Atlantic,International School,Y,$150K - $249K,61100,College of Arts & Sciences,Undeclared,,3,College of Arts & Sciences,English,3.26,3.33,0.07,Y,Y,Y,N,0,1,0,N,N,N,1,N,Fellowship,0.732,0.505,1.0,0.1818,N,Tier 3 - Solid
L2024-10103,2024,3,3.63,Test Optional,,Midwest,Charter,N,$60K - $99K,14000,College of Arts & Sciences,Mathematics,,4,College of Arts & Sciences,Mathematics,2.62,2.57,-0.05,Y,N,N,N,1,1,0,N,N,N,2,N,Seeking,0.428,0.3861,0.6,0.1818,N,Tier 4 - Struggled
L2025-10104,2025,3,3.63,Submitted,1250,New England,Public,N,Under $30K,4500,School of Engineering,Computer Science,,3,School of Engineering,Computer Science,3.01,2.88,-0.13,Y,Y,Y,N,0,2,0,N,N,N,1,N,Graduate or professional school,0.552,0.3069,1.0,0.3636,N,Tier 3 - Solid
L2019-10105,2019,4,3.80,Submitted,1360,South,Private - Independent,N,$100K - $149K,42700,College of Arts & Sciences,Economics,,3,College of Arts & Sciences,Economics,2.86,2.92,0.06,Y,Y,Y,N,0,3,0,N,N,N,2,N,Employed full-time,0.568,0.495,1.0,0.5455,N,Tier 2 - Strong
L2020-10106,2020,4,3.86,Submitted,1380,Mid-Atlantic,Public,N,Not Reported,32700,School of Engineering,Biomedical Engineering,,2,School of Engineering,Biomedical Engineering,2.96,3.32,0.36,Y,Y,Y,N,3,3,0,N,N,N,3,N,Employed full-time,0.728,0.7921,1.0,0.5455,Y,Tier 1 - Thrived
L2021-10107,2021,2,3.19,Test Optional,,Mid-Atlantic,Public,N,$100K - $149K,39900,College of Arts & Sciences,Communication,Wrestling,3,College of Arts & Sciences,Communication,3.21,3.43,0.22,Y,Y,Y,N,0,1,3,Y,N,N,2,N,Employed full-time,0.772,0.6535,1.0,0.4545,Y,Tier 1 - Thrived
L2022-10108,2022,2,3.44,Submitted,1190,New England,Public,N,$30K - $59K,56900,School of Nursing & Health,Public Health,,4,School of Nursing & Health,Public Health,3.04,3.24,0.20,N,N,N,N,0,1,0,N,N,N,2,N,Graduate or professional school,0.696,0.6337,0.15,0.1818,N,Tier 4 - Struggled
L2023-10109,2023,4,4.07,Test Optional,,Mid-Atlantic,Public,N,$150K - $249K,37800,School of Business,Marketing,,1,School of Business,Marketing,3.08,3.25,0.17,N,N,N,N,1,3,0,N,N,N,2,Y,Graduate or professional school,0.7,0.604,0.15,0.5455,N,Tier 4 - Struggled
L2024-10110,2024,3,3.59,Submitted,1380,Mid-Atlantic,Public,N,$100K - $149K,45500,School of Business,Management,,4,School of Business,Management,3.01,3.15,0.14,Y,Y,Y,N,0,1,0,N,N,N,0,N,Graduate or professional school,0.66,0.5743,1.0,0.1818,N,Tier 3 - Solid
L2025-10111,2025,4,3.72,Test Optional,,Mid-Atlantic,Parochial,N,$30K - $59K,61500,School of Engineering,Electrical Engineering,,4,School of Engineering,Biomedical Engineering,3.13,3.21,0.08,N,N,N,N,0,1,0,N,N,N,2,Y,Graduate or professional school,0.684,0.5149,0.15,0.1818,N,Tier 4 - Struggled
L2019-10112,2019,3,3.72,Submitted,1320,International,Public,N,$60K - $99K,30100,College of Arts & Sciences,Undeclared,,4,College of Arts & Sciences,Undeclared,3.50,3.37,-0.13,Y,Y,Y,N,0,1,0,N,N,N,3,N,Graduate or professional school,0.748,0.3069,1.0,0.1818,N,Tier 3 - Solid
L2020-10113,2020,3,3.53,Submitted,1340,Midwest,Public,Y,$100K - $149K,25400,School of Engineering,Electrical Engineering,,2,School of Engineering,Electrical Engineering,2.98,3.18,0.20,Y,N,N,N,0,1,0,N,Y,N,1,Y,Employed full-time,0.672,0.6337,0.6,0.4545,N,Tier 3 - Solid
L2021-10114,2021,4,3.91,Test Optional,,Mid-Atlantic,Public,N,Under $30K,57300,College of Fine Arts,Theatre,Softball,3,College of Fine Arts,Graphic Design,3.54,3.95,0.41,Y,Y,Y,N,1,2,1,N,N,Y,4,N,Graduate or professional school,0.98,0.8416,1.0,0.3636,Y,Tier 1 - Thrived
L2022-10115,2022,3,3.46,Submitted,1190,Midwest,Parochial,Y,Under $30K,12900,School of Engineering,Electrical Engineering,,1,School of Engineering,Electrical Engineering,3.54,3.86,0.32,Y,Y,Y,N,0,2,0,N,Y,Y,3,Y,Employed full-time,0.944,0.7525,1.0,0.6364,Y,Tier 1 - Thrived
L2023-10116,2023,2,3.33,Submitted,1290,Mid-Atlantic,Public,Y,Under $30K,27100,College of Arts & Sciences,Neuroscience,,1,College of Arts & Sciences,Neuroscience,3.10,3.28,0.18,Y,Y,Y,N,1,2,0,N,N,N,2,N,Employed full-time,0.712,0.6139,1.0,0.3636,Y,Tier 2 - Strong
L2024-10117,2024,3,3.49,Test Optional,,Mid-Atlantic,Private - Independent,N,$100K - $149K,11600,School of Nursing & Health,Public Health,,4,School of Nursing & Health,Health Administration,2.78,2.71,-0.07,Y,Y,Y,N,0,0,0,N,N,N,0,N,Employed full-time,0.484,0.3663,1.0,0.0,N,Tier 4 - Struggled
L2025-10118,2025,4,3.87,Submitted,1410,Mid-Atlantic,Public,N,$250K and above,9500,College of Arts & Sciences,History,,2,College of Arts & Sciences,History,3.36,3.43,0.07,Y,Y,Y,N,2,2,0,N,N,N,2,N,Seeking,0.772,0.505,1.0,0.3636,N,Tier 2 - Strong
L2019-10119,2019,3,3.63,Test Optional,,South,Public,N,$150K - $249K,5000,College of Arts & Sciences,History,,2,College of Arts & Sciences,Undeclared,2.88,3.04,0.16,Y,Y,Y,Y,0,3,0,N,N,N,1,N,Employed full-time,0.616,0.5941,0.85,0.5455,N,Tier 2 - Strong
L2020-10120,2020,3,3.59,Test Optional,,South,Private - Independent,Y,$60K - $99K,43600,College of Arts & Sciences,English,,3,College of Arts & Sciences,English,2.56,2.65,0.09,Y,Y,Y,N,3,0,0,N,N,N,1,N,Employed full-time,0.46,0.5248,1.0,0.0,N,Tier 4 - Struggled
L2021-10121,2021,3,3.62,Submitted,1290,Midwest,Public,N,$150K - $249K,26300,School of Nursing & Health,Nursing (BSN),,4,School of Nursing & Health,Nursing (BSN),3.59,4.00,0.41,Y,N,N,N,0,1,0,N,N,Y,1,N,Graduate or professional school,1.0,0.8416,0.6,0.1818,N,Tier 2 - Strong
L2022-10122,2022,3,3.62,Submitted,1230,South,Parochial,N,$100K - $149K,400,College of Arts & Sciences,Undeclared,,2,College of Arts & Sciences,Undeclared,3.07,3.28,0.21,Y,Y,Y,N,0,0,0,N,Y,N,0,N,Employed full-time,0.712,0.6436,1.0,0.2727,N,Tier 2 - Strong
L2023-10123,2023,4,3.92,Submitted,1320,Mid-Atlantic,Public,Y,$100K - $149K,18300,School of Engineering,Civil Engineering,,3,School of Engineering,Civil Engineering,3.63,3.94,0.31,Y,Y,Y,N,2,2,0,N,Y,N,2,N,Seeking,0.976,0.7426,1.0,0.6364,Y,Tier 1 - Thrived
L2024-10124,2024,5,3.96,Test Optional,,Mid-Atlantic,Public,N,$150K - $249K,14400,School of Nursing & Health,Exercise Science,,4,School of Nursing & Health,Exercise Science,3.37,3.64,0.27,Y,Y,Y,N,0,0,0,N,Y,N,2,N,Graduate or professional school,0.856,0.703,1.0,0.2727,Y,Tier 2 - Strong
L2025-10125,2025,3,3.79,Submitted,1370,International,Charter,N,$100K - $149K,48000,College of Arts & Sciences,Political Science,,2,College of Arts & Sciences,Political Science,2.94,3.24,0.30,Y,Y,Y,N,2,0,0,N,N,N,1,N,Fellowship,0.696,0.7327,1.0,0.0,N,Tier 3 - Solid
L2019-10126,2019,3,3.57,Submitted,1260,International,Public,N,$60K - $99K,27500,School of Business,Supply Chain Management,,2,School of Business,Supply Chain Management,3.09,3.43,0.34,Y,Y,Y,N,3,2,0,N,N,N,2,N,Graduate or professional school,0.772,0.7723,1.0,0.3636,Y,Tier 1 - Thrived
L2020-10127,2020,2,3.40,Submitted,1210,International,Parochial,N,$100K - $149K,38600,College of Arts & Sciences,Undeclared,,5,College of Arts & Sciences,Undeclared,3.50,3.68,0.18,Y,Y,Y,N,3,2,0,N,Y,N,0,Y,Graduate or professional school,0.872,0.6139,1.0,0.6364,Y,Tier 1 - Thrived
L2021-10128,2021,3,3.59,Submitted,1310,Mid-Atlantic,Parochial,N,Under $30K,53200,School of Nursing & Health,Public Health,,1,School of Nursing & Health,Health Administration,3.15,3.64,0.49,Y,Y,Y,N,0,1,0,N,N,N,1,N,Seeking,0.856,0.9208,1.0,0.1818,Y,Tier 1 - Thrived
L2022-10129,2022,1,3.16,Submitted,1170,West,Public,N,$30K - $59K,6800,School of Business,Accounting,Women's Basketball,2,School of Business,Business Analytics,3.26,3.39,0.13,Y,Y,Y,N,0,1,2,N,Y,N,2,N,Employed full-time,0.756,0.5644,1.0,0.4545,Y,Tier 2 - Strong
L2023-10130,2023,3,3.58,Test Optional,,Midwest,Parochial,N,$250K and above,0,School of Nursing & Health,Exercise Science,,1,School of Nursing & Health,Exercise Science,2.62,2.84,0.22,N,N,N,Y,0,1,0,N,N,N,0,N,Graduate or professional school,0.536,0.6535,0.0,0.1818,N,Tier 4 - Struggled
L2024-10131,2024,2,3.44,Submitted,1180,Mid-Atlantic,Parochial,N,Not Reported,52600,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,2.45,2.46,0.01,Y,N,Y,Y,2,1,0,N,N,N,1,N,Seeking,0.384,0.4455,0.45,0.1818,N,Tier 4 - Struggled
L2025-10132,2025,3,3.51,Submitted,1240,New England,Public,N,$250K and above,40500,College of Arts & Sciences,Environmental Science,,5,College of Arts & Sciences,Economics,3.06,2.85,-0.21,Y,Y,Y,N,1,2,0,N,N,N,2,N,Employed full-time,0.54,0.2277,1.0,0.3636,N,Tier 4 - Struggled
L2019-10133,2019,5,4.01,Submitted,1460,Midwest,Private - Independent,N,$150K - $249K,58900,School of Engineering,Mechanical Engineering,,2,School of Engineering,Mechanical Engineering,2.84,2.85,0.01,Y,Y,Y,Y,2,1,0,N,N,N,3,N,Seeking,0.54,0.4455,0.85,0.1818,N,Tier 4 - Struggled
L2020-10134,2020,2,3.30,Submitted,1160,International,Public,N,$30K - $59K,30600,College of Arts & Sciences,Communication,,3,College of Arts & Sciences,Environmental Science,2.81,3.10,0.29,Y,N,N,N,3,2,0,N,N,N,1,N,Employed full-time,0.64,0.7228,0.6,0.3636,N,Tier 3 - Solid
L2021-10135,2021,3,3.42,Submitted,1250,Mid-Atlantic,Public,Y,$150K - $249K,50600,School of Business,Finance,,2,School of Business,Business Analytics,3.36,3.64,0.28,Y,Y,Y,Y,0,1,0,N,N,N,3,N,Employed full-time,0.856,0.7129,0.85,0.1818,N,Tier 2 - Strong
L2022-10136,2022,3,3.49,Submitted,1210,New England,Public,Y,$30K - $59K,11500,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,3.41,3.75,0.34,Y,Y,Y,N,2,2,0,N,Y,Y,2,N,Employed full-time,0.9,0.7723,1.0,0.6364,Y,Tier 1 - Thrived
L2023-10137,2023,4,3.96,Submitted,1350,International,Public,N,$250K and above,55800,College of Arts & Sciences,Political Science,,4,College of Arts & Sciences,Economics,3.02,3.39,0.37,Y,Y,Y,N,0,0,0,N,N,N,2,Y,Fellowship,0.756,0.802,1.0,0.0,N,Tier 2 - Strong
L2024-10138,2024,4,3.74,Test Optional,,International,Public,N,$100K - $149K,39600,School of Business,Finance,,2,School of Business,Finance,2.35,2.28,-0.07,Y,Y,Y,Y,1,1,0,N,N,N,1,Y,Employed full-time,0.312,0.3663,0.85,0.1818,N,Tier 4 - Struggled
L2025-10139,2025,3,3.51,Submitted,1290,Mid-Atlantic,Public,Y,$100K - $149K,60400,School of Nursing & Health,Public Health,,1,School of Nursing & Health,Public Health,3.04,2.98,-0.06,N,N,N,N,0,0,0,N,Y,N,1,N,Seeking,0.592,0.3762,0.15,0.2727,N,Tier 4 - Struggled
L2019-10140,2019,3,3.52,Test Optional,,International,Private - Independent,N,Not Reported,2600,School of Nursing & Health,Nursing (BSN),,4,School of Nursing & Health,Nursing (BSN),3.43,3.59,0.16,Y,Y,Y,Y,0,2,0,N,Y,N,2,N,Graduate or professional school,0.836,0.5941,0.85,0.6364,Y,Tier 1 - Thrived
L2020-10141,2020,3,3.80,Submitted,1280,Mid-Atlantic,Public,N,Under $30K,21600,School of Nursing & Health,Nursing (BSN),,2,School of Nursing & Health,Nursing (BSN),2.67,2.63,-0.04,Y,Y,Y,N,0,0,0,N,N,N,2,N,Unknown,0.452,0.396,1.0,0.0,N,Tier 4 - Struggled
L2021-10142,2021,3,3.60,Submitted,1170,Mid-Atlantic,Public,N,$60K - $99K,39800,School of Business,Supply Chain Management,,5,School of Business,Supply Chain Management,3.10,3.40,0.30,Y,N,N,N,2,1,0,N,N,N,3,N,Graduate or professional school,0.76,0.7327,0.6,0.1818,N,Tier 3 - Solid
L2022-10143,2022,3,3.72,Submitted,1340,New England,Public,Y,$60K - $99K,44100,School of Nursing & Health,Nursing (BSN),,4,School of Nursing & Health,Exercise Science,2.73,2.44,-0.29,Y,Y,Y,N,1,1,0,N,N,N,2,N,Graduate or professional school,0.376,0.1485,1.0,0.1818,N,Tier 4 - Struggled
L2023-10144,2023,3,3.61,Submitted,1240,Mid-Atlantic,Public,N,$100K - $149K,18900,College of Arts & Sciences,Mathematics,,3,College of Arts & Sciences,Mathematics,3.53,3.80,0.27,Y,Y,Y,N,1,1,0,N,N,Y,0,Y,Graduate or professional school,0.92,0.703,1.0,0.1818,Y,Tier 2 - Strong
L2024-10145,2024,3,3.36,Submitted,1240,South,Public,N,$100K - $149K,5100,College of Arts & Sciences,Political Science,,3,College of Arts & Sciences,Political Science,3.01,3.05,0.04,Y,N,N,N,2,2,0,N,Y,N,3,N,Graduate or professional school,0.62,0.4752,0.6,0.6364,N,Tier 3 - Solid
L2025-10146,2025,3,3.35,Submitted,1190,South,International School,N,$250K and above,19000,College of Arts & Sciences,History,,3,College of Arts & Sciences,History,3.43,3.60,0.17,Y,Y,Y,N,0,1,0,N,Y,N,1,N,Graduate or professional school,0.84,0.604,1.0,0.4545,Y,Tier 1 - Thrived
L2019-10147,2019,3,3.54,Submitted,1200,New England,Private - Independent,Y,$60K - $99K,31400,College of Arts & Sciences,Economics,Softball,3,College of Arts & Sciences,Economics,3.14,3.08,-0.06,Y,Y,Y,N,3,1,3,N,N,N,1,N,Unknown,0.632,0.3762,1.0,0.1818,N,Tier 3 - Solid
L2020-10148,2020,3,3.68,Submitted,1360,Midwest,Private - Independent,Y,$150K - $249K,60600,College of Arts & Sciences,History,,3,College of Arts & Sciences,Political Science,3.08,3.33,0.25,Y,Y,Y,N,0,4,0,N,N,N,1,N,Employed full-time,0.732,0.6832,1.0,0.7273,Y,Tier 1 - Thrived
L2021-10149,2021,3,3.78,Submitted,1270,West,Public,N,Under $30K,47800,College of Arts & Sciences,Mathematics,,2,College of Arts & Sciences,Mathematics,2.89,2.84,-0.05,Y,N,Y,N,0,2,0,N,N,N,2,Y,Employed full-time,0.536,0.3861,0.6,0.3636,N,Tier 4 - Struggled
L2022-10150,2022,2,3.20,Submitted,1150,International,Public,N,$150K - $249K,24300,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,Chemistry,3.56,3.96,0.40,Y,Y,Y,N,1,2,0,N,N,Y,2,Y,Employed full-time,0.984,0.8317,1.0,0.3636,Y,Tier 1 - Thrived
L2023-10151,2023,3,3.59,Submitted,1360,International,Public,Y,$30K - $59K,2000,School of Nursing & Health,Public Health,,4,School of Nursing & Health,Public Health,3.56,3.89,0.33,Y,Y,Y,N,0,1,0,N,N,Y,2,Y,Seeking,0.956,0.7624,1.0,0.1818,Y,Tier 1 - Thrived
L2024-10152,2024,3,3.45,Test Optional,,Southwest,International School,N,$100K - $149K,35100,College of Arts & Sciences,Neuroscience,,3,College of Arts & Sciences,Environmental Science,2.97,3.26,0.29,Y,N,Y,N,1,0,0,N,N,N,2,Y,Graduate or professional school,0.704,0.7228,0.6,0.0,N,Tier 4 - Struggled
L2025-10153,2025,5,4.15,Submitted,1530,Midwest,Public,Y,$250K and above,28300,College of Arts & Sciences,Sociology,,4,College of Arts & Sciences,Environmental Science,3.44,3.76,0.32,Y,N,N,N,0,2,0,N,N,N,1,N,Fellowship,0.904,0.7525,0.6,0.3636,N,Tier 2 - Strong
L2019-10154,2019,3,3.49,Submitted,1220,Midwest,Public,N,$250K and above,31900,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,3.04,3.25,0.21,Y,N,Y,N,0,1,0,N,N,N,1,N,Employed full-time,0.7,0.6436,0.6,0.1818,N,Tier 4 - Struggled
L2020-10155,2020,4,3.85,Test Optional,,Midwest,Public,N,$60K - $99K,7100,School of Nursing & Health,Exercise Science,Swimming & Diving,2,School of Nursing & Health,Exercise Science,2.93,2.93,0.00,Y,Y,Y,N,0,2,3,Y,N,N,0,N,Graduate or professional school,0.572,0.4356,1.0,0.6364,N,Tier 2 - Strong
L2021-10156,2021,3,3.55,Test Optional,,New England,Parochial,N,$30K - $59K,24400,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,2.90,3.07,0.17,Y,Y,Y,N,0,1,0,N,N,N,2,N,Employed full-time,0.628,0.604,1.0,0.1818,N,Tier 3 - Solid
L2022-10157,2022,4,3.89,Submitted,1400,Southwest,International School,N,$100K - $149K,45500,School of Business,Business Analytics,,5,School of Business,Business Analytics,3.64,4.00,0.36,Y,N,Y,N,0,0,0,N,Y,Y,2,N,Employed full-time,1.0,0.7921,0.6,0.2727,Y,Tier 2 - Strong
L2023-10158,2023,4,3.78,Submitted,1390,West,Charter,N,$150K - $249K,25800,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,English,3.12,3.11,-0.01,Y,Y,Y,N,2,1,0,N,N,N,1,N,Graduate or professional school,0.644,0.4257,1.0,0.1818,N,Tier 3 - Solid
L2024-10159,2024,2,3.38,Submitted,1210,Midwest,Private - Independent,N,Not Reported,44100,School of Business,Supply Chain Management,,3,School of Business,Supply Chain Management,2.37,2.63,0.26,Y,Y,Y,N,1,0,0,N,N,N,0,N,Seeking,0.452,0.6931,1.0,0.0,N,Tier 3 - Solid
L2025-10160,2025,4,3.96,Submitted,1400,South,Public,N,$60K - $99K,60100,School of Nursing & Health,Nursing (BSN),,3,School of Nursing & Health,Nursing (BSN),3.48,3.92,0.44,Y,Y,Y,N,1,0,0,N,N,Y,0,Y,Graduate or professional school,0.968,0.8713,1.0,0.0,Y,Tier 2 - Strong
L2019-10161,2019,4,3.79,Submitted,1420,South,Private - Independent,N,$30K - $59K,32300,School of Business,Management,Rowing,3,School of Business,Management,3.46,3.33,-0.13,Y,Y,Y,N,0,0,1,N,Y,N,1,N,Employed full-time,0.732,0.3069,1.0,0.2727,N,Tier 3 - Solid
L2020-10162,2020,2,3.29,Test Optional,,South,Public,N,$60K - $99K,61200,College of Arts & Sciences,Communication,,3,College of Arts & Sciences,Communication,3.43,3.40,-0.03,Y,Y,Y,N,1,1,0,N,Y,N,1,N,Employed full-time,0.76,0.4059,1.0,0.4545,N,Tier 2 - Strong
L2021-10163,2021,4,4.01,Test Optional,,International,Public,N,$100K - $149K,33900,College of Arts & Sciences,Psychology,,2,College of Arts & Sciences,Psychology,3.22,3.57,0.35,N,N,N,N,0,3,0,N,Y,N,2,N,Graduate or professional school,0.828,0.7822,0.15,0.8182,N,Tier 2 - Strong
L2022-10164,2022,3,3.75,Submitted,1300,Southwest,Private - Independent,N,Under $30K,35000,College of Arts & Sciences,Mathematics,,2,College of Arts & Sciences,Mathematics,2.70,2.65,-0.05,Y,Y,Y,N,0,0,0,N,N,N,1,N,Employed full-time,0.46,0.3861,1.0,0.0,N,Tier 4 - Struggled
L2023-10165,2023,3,3.49,Test Optional,,Mid-Atlantic,Private - Independent,N,$30K - $59K,28400,School of Nursing & Health,Public Health,,2,School of Nursing & Health,Public Health,3.30,3.51,0.21,Y,Y,Y,N,0,2,0,N,Y,N,2,Y,Employed full-time,0.804,0.6436,1.0,0.6364,Y,Tier 1 - Thrived
L2024-10166,2024,4,3.81,Submitted,1370,International,Public,N,$100K - $149K,15500,College of Arts & Sciences,Environmental Science,,2,College of Arts & Sciences,Environmental Science,2.73,2.79,0.06,Y,Y,Y,N,0,1,0,N,Y,N,1,N,Employed full-time,0.516,0.495,1.0,0.4545,N,Tier 3 - Solid
L2025-10167,2025,3,3.62,Submitted,1360,Midwest,Public,N,Under $30K,38600,School of Business,Supply Chain Management,,2,School of Business,Supply Chain Management,3.20,3.24,0.04,Y,Y,Y,N,3,1,0,N,N,N,1,Y,Unknown,0.696,0.4752,1.0,0.1818,N,Tier 3 - Solid
L2019-10168,2019,3,3.51,Submitted,1220,West,Public,N,Under $30K,400,School of Engineering,Mechanical Engineering,,3,School of Engineering,Mechanical Engineering,3.33,3.77,0.44,Y,Y,Y,N,1,1,0,N,N,Y,4,N,Seeking,0.908,0.8713,1.0,0.1818,Y,Tier 1 - Thrived
L2020-10169,2020,2,3.27,Submitted,1210,Mid-Atlantic,Parochial,Y,$30K - $59K,19500,School of Engineering,Chemical Engineering,,2,School of Engineering,Civil Engineering,2.58,2.67,0.09,Y,Y,Y,N,2,0,0,N,N,N,2,N,Employed full-time,0.468,0.5248,1.0,0.0,N,Tier 4 - Struggled
L2021-10170,2021,3,3.62,Test Optional,,South,Public,N,$100K - $149K,46300,College of Arts & Sciences,Mathematics,,1,College of Arts & Sciences,History,3.28,3.59,0.31,Y,Y,Y,N,2,1,0,N,N,N,3,Y,Seeking,0.836,0.7426,1.0,0.1818,Y,Tier 2 - Strong
L2022-10171,2022,4,3.84,Test Optional,,Mid-Atlantic,Parochial,N,Not Reported,44700,School of Business,Finance,,1,School of Business,Management,3.86,4.00,0.14,Y,Y,Y,N,1,2,0,N,Y,Y,3,N,Employed full-time,1.0,0.5743,1.0,0.6364,Y,Tier 1 - Thrived
